Pregunta,Respuesta,Weights
¿Pueden hacer descuentos?,"Si, es posible hacer un descuento dependiendo del tamaño del pedido.",0.475757575758 0.20303030303 0.321212121212
¿Que descuentos hay disponibles?,No hay ofertas disponibles actualmente.,0.145512820513 0.294230769231 0.209615384615 0.350641025641
¿Que colores hay disponibles?,"Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje.",0.14700220022 0.270214521452 0.215759075908 0.36702420242
¿Que colores tienen disponibles?,"Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje.",0.148858214042 0.282464212679 0.181237218814 0.387440354465
¿Cuanto tiempo duran?,Las flores duran aproximadamente dos semanas.,0.210144927536 0.297101449275 0.492753623188
¿Cuando marchitan mueren?,Las flores duran aproximadamente dos semanas.,0.291666666667 0.291666666667 0.416666666667
¿Donde se ubican encuentran?,"La ubicacion de nuestra empresa es: Parcela 26, Lliu Liu, Limache, Region de Valparaiso.",0.162234042553 0.140957446809 0.348404255319 0.348404255319
¿Cual es el precio actual?,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto.",0.124279166268 0.117197742773 0.108254916531 0.137522347869 0.512745826558
¿Quiero saber los precios?,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto.",0.291785459729 0.217658588738 0.157074126871 0.333481824661
¿Cuanto cuestan los paquetes?,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.,0.149597918638 0.217242194891 0.139191106906 0.493968779565
¿Que es el botonaje?,Botonaje se refiere al tamaño de la flor.,0.138875398918 0.144078673512 0.134157763286 0.582888164285
¿Se pueden hacer pedidos?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.,0.300948743223 0.250677673731 0.17674963036 0.271623952686
¿Es posible realizar compras?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.,0.232142857143 0.339285714286 0.232142857143 0.196428571429
¿Se pueden hacer compras?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.,0.261051829268 0.222179878049 0.165015243902 0.35175304878
¿Como contacto a la empresa?,Por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.128420230763 0.369992192244 0.102307625575 0.119285156589 0.27999479483
¿Como y donde puedo contactarlos?,Por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.115253313964 0.136226620665 0.244906482658 0.113800617396 0.389812965317
¿La cantidad maxima para pedir?,Para pedidos muy grandes por favor contactate con nosotros.,0.273841059603 0.157947019868 0.273841059603 0.124834437086 0.169536423841
¿La cantidad minima para pedir?,No hay pedidos minimos.,0.273841059603 0.157947019868 0.273841059603 0.124834437086 0.169536423841
¿Donde puedo retirar productos?,En Limache quinta region.,0.230324074074 0.155092592593 0.440972222222 0.173611111111
¿Cual es la duracion media?,Duran aproximadamente dos semanas.,0.117975604537 0.11273271988 0.110913759897 0.252792638562 0.405585277124
¿Cuanto es la duracion de las flores?,Duran aproximadamente dos semanas.,0.1135655165 0.0977641620982 0.0940019348597 0.387455659465 0.0827152531441 0.1135655165 0.110931957433
¿Puedo elegir colores diferentes?,"Si, es posible.",0.167372881356 0.315677966102 0.201271186441 0.315677966102
¿Se pueden elegir colores diferentes?,"Si, es posible.",0.164814814815 0.146296296296 0.262037037037 0.164814814815 0.262037037037
¿Que colores pueden ser?,"Blanco, bicolor, rojo, rosado, amarillo, rosa, naranjo etc. Para ver la disponibilidad por favor llamanos al 09-98276460.",0.136034047919 0.197824716267 0.177017654477 0.489123581337
¿Que tamaños hay?,Para ver la disponibilidad por tamaño por favor llamanos al 09-98276460.,0.179781420765 0.599453551913 0.220765027322
¿Que porte tienen?,Para ver la disponibilidad por tamaño por favor llamanos al 09-98276460.,0.180419122462 0.620497707924 0.199083169614
¿Con cuanta antelacion puedo hacer un pedido?,A lo menos dos dias. Mas si es envio a regiones.,0.116775340842 0.252815649081 0.252815649081 0.088703531205 0.092768227623 0.111736810907 0.0843847912609
¿Con cuanto tiempo puedo hacer un pedido?,A lo menos dos dias. Mas si es envio a regiones.,0.139989245384 0.254257035311 0.181125649758 0.0975469234118 0.103692417996 0.132371392723 0.091017335416
¿Con cuanto tiempo puedo comprar?,A lo menos dos dias. Mas si es envio a regiones.,0.176493443419 0.303982515784 0.222389509471 0.129140359398 0.167994171928
¿Que otras flores hay?,Tambien ofrecemos gladiolos y gerberas.,0.137441679627 0.535575427683 0.15066096423 0.17632192846
¿Con quien puedo hablar para comprar?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.123522157013 0.147635451221 0.0986433614017 0.404843922769 0.106298375436 0.11905673216
¿Quien esta a cargo?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.261046511628 0.215697674419 0.126162790698 0.397093023256
¿A quien puedo llamar?,Por favor llame a Patricia Cid al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.325573065903 0.245343839542 0.153653295129 0.275429799427
¿A que horas puedo llamar?,"Flores Lilium permanece abierto Lunes a Viernes de 8:00 a 21:00 hs. y Sabados y Domingos de 8:00 a 20:00 hrs., posteriormente queda un servicio de atencion telefonico para los pedidos nocturnos con servicio las 24 hs.",0.241129032258 0.121169354839 0.311693548387 0.120161290323 0.205846774194
¿En que horario puedo llamar?,"Flores Lilium permanece abierto Lunes a Viernes de 8:00 a 21:00 hs. y Sabados y Domingos de 8:00 a 20:00 hrs., posteriormente queda un servicio de atencion telefonico para los pedidos nocturnos con servicio las 24 hs.",0.279028132992 0.126854219949 0.234271099744 0.12557544757 0.234271099744
¿Que cargos adicionales hay?,El costo de envio.,0.150031289111 0.290206508135 0.331508135169 0.228254067584
¿Cual es el sentido de la vida?,Servir para un bien comun,0.0849570585572 0.0810112498113 0.0760282570523 0.301412852615 0.0755354335926 0.0796422957567 0.301412852615
¿Cual es el proposito de la muerte?,poder vivir de nuevo.,0.0889976765755 0.083873354241 0.0774020671785 0.220765965177 0.0767620497767 0.0820955281249 0.370103358926
¿Cual es el proposito de las emociones?,No lo se.,0.0886787316086 0.0836474348894 0.0772936258898 0.218054932959 0.0766652271975 0.090978752966 0.36468129449
¿Cual es la disponibilidad de?,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.144967880086 0.131852248394 0.127301927195 0.482226980728 0.113650963597
Estoy interesado en flores,Por favor visite la pagina de productos para ver la variedad y los precios.,0.356213872832 0.356213872832 0.148121387283 0.139450867052
Que productos  tienen,"Flores Lilium, Gerberas y gladiolos de distintos colores.",0.29270544783 0.360572483841 0.346722068329
quiero hacer un pedido,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.269184168013 0.226777059774 0.317245557351 0.186793214863
Informacion de sus Productos,"Nuestra empresa vende flores lilium al por mayor y al por menor. Se pueden elegir las flores por los distintos colores (blanco, amarillo, rojo, rosado etc.) y por su botonaje.",0.363219895288 0.146269633508 0.273887434555 0.216623036649
Quiero saber el precio de los lilium,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.,0.139547844351 0.162254268659 0.08777719693 0.145740505526 0.0860255584834 0.102868235854 0.275786390196
El Telefono de Contacto,Por favor llama al numero celular 09-98276460.,0.136478546051 0.316309100847 0.135248701831 0.411963651271
A que telefono puedo llamar,Por favor llama al numero celular 09-98276460.,0.10311831789 0.136484319316 0.343228795438 0.134746970777 0.282421596579
A que numero llamo,Por favor llama al numero celular 09-98276460.,0.126374759417 0.14108468518 0.446693703602 0.285846851801
Que telefono tienen,Por favor llama al numero celular 09-98276460.,0.221640488656 0.533158813264 0.24520069808
Quiero saber la disponibilidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.155702917772 0.174270557029 0.123872679045 0.434217506631 0.111936339523
Necesito la cantidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.472107438017 0.14979338843 0.240702479339 0.137396694215
Necesito saber el precio,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto.",0.471250699496 0.201944599888 0.13885002798 0.187954672636
Quiero saber el precio,"Los precios son variables dependiendo de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto.",0.261453853788 0.306938471717 0.157748924909 0.273858749587
Quiero la cantidad de,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.262254901961 0.183823529412 0.399509803922 0.154411764706
Quiero saber si tienen,"La variedad de flores es dependiente de la temporada, para mas informacion llama al 09-98276460 o usa el formulario de contacto.",0.238882863341 0.276843817787 0.261659436009 0.222613882863
Costos de envio flores,Para conocer el costo de envio por favor visita Tur-bus o correos de chile para conocer los precios a tu localidad desde Limache.,0.559108527132 0.132751937984 0.156007751938 0.152131782946
Hacer pedido para el lunes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.142876393483 0.126032096043 0.152064192086 0.114577973784 0.464449344604
Hacer pedido para el martes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.124799829944 0.115057039609 0.130114079218 0.108431942181 0.521597109048
Hacer pedido para el miercoles,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.124799829944 0.115057039609 0.130114079218 0.108431942181 0.521597109048
Hacer pedido para el jueves,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.124799829944 0.115057039609 0.130114079218 0.108431942181 0.521597109048
Hacer pedido para el viernes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.124799829944 0.115057039609 0.130114079218 0.108431942181 0.521597109048
Hacer pedido para el sabado,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.142876393483 0.126032096043 0.152064192086 0.114577973784 0.464449344604
Hacer pedido para el domingo,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.142876393483 0.126032096043 0.152064192086 0.114577973784 0.464449344604
Ofrecen Venta por mayor,Para pedidos muy grandes por favor contactate con nosotros al numero celular 09-98276460,0.190217391304 0.255434782609 0.16847826087 0.385869565217
Ofrecen Venta por menor,No hay pedido minimo.,0.190217391304 0.255434782609 0.16847826087 0.385869565217
Pedir para el dia lunes,Por favor llama al numero celular 09-98276460 o para realizar el pedido.,0.155821371611 0.119936204147 0.105582137161 0.379106858054 0.239553429027
Si ok,Ok.,0.7 0.7
Quiero que me cotizen flores,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.,0.12457002457 0.114742014742 0.24742014742 0.39484029484 0.118427518428
Quiero cotizar,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.,0.321428571429 0.678571428571
Que informacion tienen,Los precios actuales y como comprar.,0.244444444444 0.477777777778 0.277777777778
Quiero cotizar,Los precios actuales para los paquetes de 10 unidades de lilium es de $3.500 pesos. El precio de gerberas es de $2500 por paquetes de 10.,0.321428571429 0.678571428571
tienen en stock,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.197154471545 0.209349593496 0.593495934959
Que cantidades manejan,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.194968553459 0.35534591195 0.449685534591
Que volumenes manejan,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.190476190476 0.404761904762 0.404761904762
Que cantidades tienen,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.221640488656 0.533158813264 0.24520069808
Que volumenes tienen,Por favor llama al numero celular 09-98276460 o para saber la disponibilidad actual de nuestros productos.,0.206896551724 0.568965517241 0.224137931034
